chq,faq,value
"How do you do a Cortrosyn (cosyntropin, ACTH) stimulation test to diagnose Addison's disease?",How do you do a Cortrosyn stimulation test?,1
"In this patient with back pain, how do you make a diagnosis of arachnoiditis and how do you treat it?","Patient with head pain, how to diagnose migrane and how to treat it?",0
"If you are treating someone for hypothyroidism and the TSH (thyroid stimulating hormone) is high (14) and the T4 (thyroxine) is normal, should you go up on the Synthroid?",How do you use Redux?  What are the indications?,0
"Immunocompromised woman with yeast vaginitis now at tertiary center.  Phone call from allergy fellow.  ""Is itraconazole an oral tablet?  How is that given?",Is itraconazole an oral tablet?  How is that given?,1
What is the cause of her intermittent light headedness?,What to do when a patient insists on an antibiotic when it is probably a virus?,0
Is there a syndrome characterized by multiple lipomas? Does it have any significance if someone has multiple lipomas?,"Premature baby born at 27 weeks, 3 months ago. What is normal hemoglobin?",0
"""What is an alternate drug for otitis media for an adult who is allergic to penicillin?""",What is an alternate drug for otitis media if penicillin allergic?,1
"Rhabdomyolysis. 53-year-old farmer. On exam, had mildly tender thighs. I just got a creatinine kinase almost on a lark and it was 676. ""What do I do now?""",What is the treatment for rhabdomyolysis?,1
"How would you treat heavy dysfunctional uterine bleeding (large clots, normal pelvic exam) in a 49 year-old woman acutely?",Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?,0
This is a 12-year-old girl with rectal itching at night and her pinworm slide was positive.  The question is how often to give Vermox.,How should I treat polymenorrhea in a 14-year-old girl?,0
What is the reference to that article showing that many people with colds have sinus disease?,How do you use Redux? What are the indications?,0
How long do we use the oral secretion medication for this seizure patient?,How long do we use the oral secretion medication?,1
Can colchicine be used as a diagnostic test for gout? If someone has a dramatic response to colchicine will this serve as a test with similar specificity to seeing crystals on joint aspiration?,What is the patient's specialist seeing on her neck cyst?,0
What is the dose of PremPro?,What is the dose of PremPro?,1
"19-year-old coming in with ""vitiligo.""  He said this before seeing the patient.  He said, ""Let's just look this up as he pulled a reference off his shelf.  Before he had a chance to look anything up, I (investigator) said, ""Before you look, what's the question?""  He said, ""Oh, just is there any treatment? And how to distinguish from that fungal infection?",What is the treatment for vitiligo?,1
What is Zoloft (sertraline)? It may be an antidepressant similar to Prozac.,Can you use Prozac along with lithium?,0
"New onset, unexpected thrombocytopenia -- What to do with it? Blood went to reference lab. I wonder if sitting in the tube in the courier's car would do that.",Unexpected thrombocytopenia -- What to do with it? Sat in courier's car awhile.,1
Patient on angiotensin converting enzyme inhibitor with chronic cough.  Is the cough due to her asthma or to the angiotensin converting enzyme inhibitor?,Is diarrhea a frequent side effect of Cleocin (Pediatric)?,0
Does progesterone (Depo-Provera) cause acne?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
"I had a man with neuropathy and cardiomyopathy.  Could this be due to Agent Orange?  He was at the Veterans Administration hospital and chronic renal failure and congestive heart failure were on the death certificate, but not Agent Orange.",What is the dose of Famvir?,0
What is the name of those cysts that can occur inside the lower lip? (mucus or mucous retention cysts),What is the name of those cysts that can occur inside the lower lip?,1
What is the protocol for this patient's health maintenance organization for when I should see her back to follow up her otitis media?  Am I supposed to see her in one month like I used to or 6 weeks or what?,What is protocol for this health maintenance organization (HMO) for when I should see her back to follow up her otitis media?,1
What is the practicality of freezing sperm before you do a vasectomy?  We got some information from the University but how long can you freeze sperm and still have it be good?,What is the practicality of freezing sperm before you do a vasectomy?,1
I wonder if there's any increase in the incidence of elevated liver function tests from the combination of statins and niacin as opposed to niacin alone?,What is the other drug besides Famvir and acyclovir for Herpes Zoster?,0
Is acyclovir ointment helpful to treat herpes labialis?  (HSV-1),I wonder if this patient could have a rotator cuff thing?,0
"What should you do if an obstetric patient has a family history of sickle cell trait (mother and father both have trait, brother has the disease)?",What should you do if an obstetric patient has a family history of sickle cell trait?,1
"Email question from study physician:  ""A question we've had difficulty finding the right answer for: What is the normal alkaline phosphatase value for a 10-year-old girl?""","In this patient with transient ischemic attacks and no murmur, should I do an echocardiogram anyway?",0
"He's got night sweats along with a lot of other symptoms.  But the only concerning one is night sweats.  I (investigator) prompted:  ""So what would you look up?  What is the question?""  He said, ""Any other unusual causes that I might need to check for and any symptomatic treatment?""",How do you work up night sweats?,1
15-month-old. Was he adequately vaccinated for polio or did he need another? He's had three polios so far.,Why did she get Coccidiomycosis?,0
"""When we do a sigmoidoscopy, when can we say it was a good one?""  Certainly 60 centimeters is good and probably 45 or 50 but what about 30 or 35?",What depth of insertion is adequate for screening flexible sigmoidoscopy?,1
What caused her periorbital swelling?,What caused her periorbital swelling?,1
"""When are you too old to have varicose vein surgery?""",Is there an upper age limit for varicose vein surgery?,1
What is a normal opening and closing cerebrospinal fluid (CSF) pressure for a lumbar puncture?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
What antibiotic should be used for a child with pneumonia (pediatric pneumonia)?,How should I treat polymenorrhea in a 14-year-old girl?,0
43-year-old woman.  What do you do with premenopausal dysfunctional uterine bleeding?,"What is causing this man's weight loss, hemoptysis, shoulder pain, night sweats?",0
8-year-old male patient. Question was the dose of erythromycin for a pediatric patient.,What is the dose of erythromycin for this 8-year-old male?,1
